일시,평균기온,최저기온,최고기온,일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),평균 현지기압(hPa),평균 해면기압(hPa),합계 일조시간(hr),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도,1일전 모기 개체수,2일전 모기 개체수,3일전 모기 개체수,모기 개체수
2015-06-01,21.7,15.8,28.5,0,6.8,2.6,22,44.6,1000,1009.9,12,20.01,5.6,26.9,5350,5448,16214,"10,706"
2015-06-02,23.1,18.1,29.8,0,6.3,2.7,25,46.9,997.9,1007.7,12.5,21.87,7.8,29.9,10706,5350,5448,"4,828"
2015-06-03,23.3,17.1,29.4,0,7.5,3.8,13,33.3,997.4,1007.2,13.2,26.58,2.6,31.6,4828,10706,5350,"4,857"
2015-06-05,19.1,17.5,22,1,5,1.7,27,58.8,996.8,1006.7,0.3,5.94,9.3,19.6,3269,4857,4828,"3,304"
2015-06-06,22.4,16.4,28.9,0,5.2,2.3,29,50.4,1001.9,1011.8,11,23.09,3.5,29.8,3304,3269,4857,"3,455"
2015-06-07,23.4,18.7,31.5,0,7.6,2.3,24,46.8,1003.1,1012.9,8.2,20.45,3.4,30.2,3455,3304,3269,"3,721"
2015-06-08,22.4,18.2,27.8,0,5.5,2.3,33,54.9,997.5,1007.3,5.1,14.74,7.9,28.3,3721,3455,3304,"3,440"
2015-06-09,22.2,18.8,28.1,0,6.1,2.9,37,66.3,997.1,1007,10.6,19.71,4.1,27.9,3440,3721,3455,"3,466"
2015-06-10,25.3,17.6,34.9,0,5.7,2.2,19,54.3,997.5,1007.3,11.1,23.47,2.6,33.9,3466,3440,3721,"3,161"
2015-06-11,24.6,20.7,30.2,7.5,5.4,2.8,25,59.6,991.9,1001.6,4.2,11.53,7.3,27.9,3161,3466,3440,"3,713"
2015-06-12,23.6,19.4,29.9,0.5,7.8,3.8,32,63.1,993.3,1003.1,11.9,22.5,5.8,27.5,3713,3161,3466,"3,399"
2015-06-13,24.7,20.1,30.9,0.5,6.1,3.2,42,61.9,994.9,1004.6,8.5,16.79,7.1,26.8,3399,3713,3161,"4,172"
2015-06-14,22.8,17.8,27.7,15.5,7.3,2.7,44,70.3,997.5,1007.3,8.5,19.52,5.3,26.6,4172,3399,3713,"5,474"
2015-06-15,24.2,19.6,30.6,0,6,2.2,37,65.6,997.1,1006.8,9.2,18.62,6.3,26.4,5474,4172,3399,"4,680"
2015-06-16,25,20,30.9,0,5.4,2.4,43,65.9,995.1,1004.8,9.8,21.08,4.6,28.8,4680,5474,4172,"4,599"
2015-06-17,23.4,20.2,30.8,9.5,6.7,2.6,38,72.8,994.5,1004.2,7.1,15.34,5.4,26.2,4599,4680,5474,"4,662"
2015-06-18,24.8,19.6,31.3,3,5.1,2.7,32,59.4,995.9,1005.6,8.9,20.21,7.1,25.7,4662,4599,4680,"4,421"
2015-06-19,24.5,20,29.9,0,5.2,2.9,39,57.8,998.2,1008,9.2,18.87,5.8,25.6,4421,4662,4599,"3,577"
2015-06-20,19.6,17,22.6,44.5,5.3,1.8,73,91,999.1,1009.1,0,3.25,7.5,20.5,3577,4421,4662,"4,412"
2015-06-21,22.4,15.6,29.6,0,5.1,2,35,69.1,999.9,1009.7,12.8,23.21,0.9,25.5,4412,3577,4421,"3,039"
2015-06-22,24,19.4,29.1,0,5.6,2.4,43,60.4,999.9,1009.7,11.3,21.88,3.8,26.5,3039,4412,3577,"4,497"
2015-06-23,24.7,19.7,31,0,5,2.3,38,64.1,1000.6,1010.4,11.7,20.76,2.9,27.4,4497,3039,4412,"6,747"
2015-06-24,25.7,21.1,30.6,0,5.7,2.5,39,58.3,998.6,1008.3,8.6,18.02,6.1,27.6,6747,4497,3039,"4,712"
2015-06-25,24.8,21,29.1,2,3.6,2.1,45,65.1,993.4,1003,2.4,11.93,8.9,27.3,4712,6747,4497,"4,104"
2015-06-26,21,18,25.3,12.5,5.6,3.3,51,75.8,988.4,998.1,0.3,10.37,9.6,22.6,4104,4712,6747,"5,243"
2015-06-27,25.2,19.2,31.1,0,4.5,2.2,34,55.3,996.1,1005.8,12.6,26.17,3.1,27.5,5243,4104,4712,"4,730"
